,time,drink,amount
122,31-12-2020 01:28,Port Wine Flip,5
123,30-12-2020 10:52,Dry Rob Roy,5.5
124,29-12-2020 04:19,Imperial Cocktail,4.99
125,28-12-2020 05:10,Snowball,11
126,30-12-2020 13:28,Turf Cocktail,12
127,30-12-2020 04:16,Winter Rita,5.5
128,30-12-2020 18:09,Rum Milk Punch,12
129,26-12-2020 17:23,Winter Rita,5.5
130,25-12-2020 16:16,Kill the cold Smoothie,11
131,30-12-2020 17:15,Mocha-Berry,8
132,26-12-2020 00:42,Scooter,12
133,28-12-2020 12:36,Chocolate Milk,5.15
134,28-12-2020 17:02,Royal Gin Fizz,7.5
135,29-12-2020 21:23,Margarita,7.5
136,31-12-2020 21:44,Dirty Nipple,3.5
137,28-12-2020 16:11,Zizi Coin-coin,5
138,26-12-2020 21:27,Kool First Aid,5
139,29-12-2020 06:26,Vodka Martini,4.2
140,29-12-2020 11:30,Long Island Tea,8
141,29-12-2020 23:10,Jitterbug,4
142,28-12-2020 07:00,Creme de Menthe,3.5
143,28-12-2020 10:48,Halloween Punch,8
144,30-12-2020 07:16,Hawaiian Cocktail,6.5
145,26-12-2020 21:29,Chocolate Milk,5.15
146,31-12-2020 06:34,Tequila Sour,5.15
147,29-12-2020 12:38,Hunter's Moon,3
148,26-12-2020 05:31,Long Island Tea,8
149,26-12-2020 10:35,Frosé,2.99
150,29-12-2020 13:07,Cosmopolitan,2.99
151,27-12-2020 16:48,Kiwi Papaya Smoothie,5.15
152,27-12-2020 10:22,Zorbatini,4.2
153,30-12-2020 05:17,The Philosopher,5.15
154,31-12-2020 07:34,Hawaiian Cocktail,6.5
155,28-12-2020 13:01,Zimadori Zinger,12
156,31-12-2020 15:36,The Laverstoke,7.5
157,31-12-2020 17:43,Artillery,3.5
158,28-12-2020 09:27,Hawaiian Cocktail,6.5
159,27-12-2020 17:04,Horse's Neck,7.5
160,25-12-2020 17:23,Owen's Grandmother's Revenge,8
161,27-12-2020 17:55,Lord And Lady,8
162,25-12-2020 19:09,Bob Marley,4
163,25-12-2020 19:18,Vesuvio,3
164,29-12-2020 09:39,Winter Rita,5.5
165,30-12-2020 12:11,Rum Cooler,4.99
166,28-12-2020 16:30,Chocolate Milk,5.15
167,28-12-2020 11:00,Danbooka,4.99
168,31-12-2020 12:46,Figgy Thyme,3
169,27-12-2020 11:40,Shot-gun,7.5
170,26-12-2020 23:37,Long Island Iced Tea,3
171,28-12-2020 21:26,Gin Rickey,4
172,27-12-2020 21:38,Imperial Cocktail,4.99
173,30-12-2020 20:36,Gin Tonic,6.5
174,26-12-2020 07:09,Margarita,7.5
175,26-12-2020 07:43,Frisco Sour,4
176,31-12-2020 17:54,Rusty Nail,4
177,30-12-2020 12:56,Bloody Mary,5.5
178,28-12-2020 00:49,Victory Collins,7.5
179,28-12-2020 19:24,Sidecar,11
180,26-12-2020 03:10,Shot-gun,7.5
181,26-12-2020 15:29,Cuba Libre,4.2
182,29-12-2020 05:41,Egg Cream,4.99
183,26-12-2020 17:07,Long Island Tea,8
184,29-12-2020 18:28,GG,12
185,31-12-2020 08:47,Vesuvio,3
186,30-12-2020 05:36,Big Red,8
187,26-12-2020 18:36,Tom Collins,5.5
188,28-12-2020 09:28,Imperial Cocktail,4.99
189,29-12-2020 16:58,Big Red,8
190,26-12-2020 18:46,Shot-gun,7.5
191,29-12-2020 10:11,Ipamena,2.99
192,31-12-2020 22:57,Paradise,4.2
193,29-12-2020 01:45,After sex,7.5
194,30-12-2020 22:34,Zippy's Revenge,5
195,28-12-2020 23:34,The Laverstoke,7.5
196,26-12-2020 14:25,Bible Belt,5.15
197,27-12-2020 13:52,White Lady,6.5
198,26-12-2020 18:48,Chocolate Milk,5.15
199,29-12-2020 10:15,Zimadori Zinger,12
200,31-12-2020 01:05,Porto flip,4.99
201,31-12-2020 17:22,Victor,4.2
202,31-12-2020 21:52,Waikiki Beachcomber,5.5
203,30-12-2020 15:38,Margarita,7.5
204,31-12-2020 06:45,Nuked Hot Chocolate,12
205,31-12-2020 19:13,Figgy Thyme,3
206,29-12-2020 09:01,Grasshopper,4.99
207,26-12-2020 00:35,John Collins,6.5
208,30-12-2020 19:37,Old Fashioned,5.5
209,26-12-2020 00:03,Chocolate Drink,12
210,27-12-2020 03:13,Long Island Tea,8
211,28-12-2020 10:38,Valencia Cocktail,5.5
212,30-12-2020 09:46,Gin Rickey,4
213,30-12-2020 21:34,Zizi Coin-coin,5
214,28-12-2020 07:28,Adam,3.5
215,30-12-2020 14:31,Egg Nog - Healthy,11
216,30-12-2020 16:56,Shot-gun,7.5
217,26-12-2020 05:14,Sangria,3.5
218,28-12-2020 17:10,Imperial Cocktail,4.99
219,27-12-2020 06:03,Turf Cocktail,12
220,26-12-2020 13:18,Jelly Bean,3
221,31-12-2020 19:41,Iced Coffee Fillip,5
222,29-12-2020 07:31,Vodka And Tonic,11
223,26-12-2020 10:19,Coffee Liqueur,5.5
224,31-12-2020 17:29,Melya,8
225,30-12-2020 10:32,Whitecap Margarita,4.99
226,28-12-2020 05:20,Nuked Hot Chocolate,12
227,29-12-2020 19:40,Quick-sand,4
228,30-12-2020 12:20,Talos Coffee,5.15
229,29-12-2020 10:23,Imperial Cocktail,4.99
230,28-12-2020 04:23,Margarita,7.5
231,26-12-2020 21:41,A. J.,11
232,26-12-2020 03:40,Old Fashioned,5.5
233,26-12-2020 15:39,Corn n Oil,8
234,28-12-2020 17:11,Scotch Sour,7.5
235,26-12-2020 04:14,Irish Curdling Cow,2.99
236,26-12-2020 19:48,Lassi - Sweet,8
237,30-12-2020 06:57,Mango Mojito,7.5
238,31-12-2020 23:44,Orange Crush,5.5
239,26-12-2020 17:27,Yoghurt Cooler,3.5
240,31-12-2020 08:05,Manhattan,4.2
241,28-12-2020 11:15,Boston Sour,5
242,27-12-2020 23:08,Dry Rob Roy,5.5
243,29-12-2020 04:54,Victory Collins,7.5
244,30-12-2020 09:05,Long Island Tea,8
245,28-12-2020 00:22,Grizzly Bear,12
246,31-12-2020 01:00,Corpse Reviver,5.15
247,27-12-2020 08:41,Corpse Reviver,5.15
248,29-12-2020 23:23,Creme de Menthe,3.5
249,29-12-2020 14:47,Greyhound,4.99
250,30-12-2020 20:16,Funk and Soul,5.15
251,30-12-2020 23:25,Creme de Menthe,3.5
252,28-12-2020 22:23,Chocolate Drink,12
253,31-12-2020 08:03,Margarita,7.5
254,26-12-2020 14:50,Mint Julep,8
255,30-12-2020 14:59,Zimadori Zinger,12
256,29-12-2020 06:57,Yoghurt Cooler,3.5
257,27-12-2020 20:19,Kurant Tea,3
258,29-12-2020 19:32,GG,12
259,27-12-2020 02:05,Horse's Neck,7.5
260,29-12-2020 20:05,Gin Tonic,6.5
261,27-12-2020 23:07,Scooter,12
262,29-12-2020 23:01,Port Wine Flip,5
263,29-12-2020 13:33,Kool-Aid Slammer,3
264,30-12-2020 00:51,Hawaiian Cocktail,6.5
265,27-12-2020 14:24,Long Island Tea,8
266,28-12-2020 02:05,Gin Rickey,4
267,28-12-2020 01:19,Waikiki Beachcomber,5.5
268,30-12-2020 13:06,Rum Cooler,4.99
269,30-12-2020 17:30,Bob Marley,4
270,29-12-2020 10:19,Vesuvio,3
271,31-12-2020 04:23,Manhattan,4.2
272,28-12-2020 09:57,Godfather,6.5
273,29-12-2020 06:26,Thai Coffee,5.5
274,28-12-2020 21:27,Victor,4.2
275,27-12-2020 09:03,Manhattan,4.2
276,26-12-2020 07:15,B-53,5.15
277,26-12-2020 04:34,Thai Coffee,5.5
278,26-12-2020 08:19,Hawaiian Cocktail,6.5
279,29-12-2020 14:53,Whitecap Margarita,4.99
280,29-12-2020 03:53,Quick-sand,4
281,28-12-2020 12:52,Gin Fizz,2.99
282,30-12-2020 04:20,Lord And Lady,8
283,27-12-2020 19:30,Rum Cooler,4.99
284,28-12-2020 03:42,Winter Rita,5.5
285,28-12-2020 21:21,Lemouroudji,5.15
286,31-12-2020 06:01,After sex,7.5
287,26-12-2020 09:58,Margarita,7.5
288,27-12-2020 05:08,Radioactive Long Island Iced Tea,7.5
289,31-12-2020 19:30,Coffee Liqueur,5.5
290,27-12-2020 04:33,Mojito,5.5
291,27-12-2020 10:12,After sex,7.5
292,31-12-2020 22:48,Sweet Tooth,2.99
293,30-12-2020 04:30,Manhattan,4.2
294,28-12-2020 18:19,Hawaiian Cocktail,6.5
295,26-12-2020 05:08,Nuked Hot Chocolate,12
296,26-12-2020 19:49,Addison,12
297,26-12-2020 21:44,Oreo Mudslide,8
298,28-12-2020 11:04,Clover Club,4.99
299,28-12-2020 18:20,Manhattan,4.2
300,25-12-2020 20:34,Gin Fizz,2.99
301,29-12-2020 22:40,Margarita,7.5
302,31-12-2020 05:05,Cream Soda,5.15
303,27-12-2020 21:19,Campari Beer,7.5
304,29-12-2020 01:06,H.D.,7.5
305,25-12-2020 18:10,Victory Collins,7.5
306,25-12-2020 20:31,Citrus Coke,5.15
307,27-12-2020 12:52,Vodka And Tonic,11
308,29-12-2020 00:53,Dry Martini,8
309,30-12-2020 18:24,Nuked Hot Chocolate,12
310,28-12-2020 12:28,Rusty Nail,4
311,27-12-2020 23:45,Manhattan,4.2
312,31-12-2020 03:07,Death in the Afternoon,4
313,27-12-2020 02:29,Lassi - Sweet,8
314,30-12-2020 15:20,Sangria,3.5
315,26-12-2020 04:25,Espresso Martini,11
316,26-12-2020 14:38,Mint Julep,8
317,30-12-2020 19:39,Death in the Afternoon,4
318,31-12-2020 16:05,Gin Tonic,6.5
319,28-12-2020 04:56,Imperial Cocktail,4.99
320,26-12-2020 14:33,Long Island Tea,8
321,28-12-2020 03:47,Manhattan,4.2
322,31-12-2020 23:44,Imperial Cocktail,4.99
323,30-12-2020 19:54,Negroni,2.99
324,30-12-2020 11:12,Old Fashioned,5.5
325,27-12-2020 03:28,Caipirinha,3.5
326,30-12-2020 02:52,Limona Corona,4.2
327,29-12-2020 01:19,Texas Rattlesnake,3.5
328,31-12-2020 12:29,Rusty Nail,4
329,27-12-2020 15:38,Margarita,7.5
330,28-12-2020 07:49,Hemingway Special,3.5
331,31-12-2020 09:29,Cosmopolitan,2.99
332,30-12-2020 07:04,White Lady,6.5
333,30-12-2020 16:54,Hawaiian Cocktail,6.5
334,27-12-2020 12:53,Irish Curdling Cow,2.99
335,26-12-2020 22:50,Veteran,8
336,29-12-2020 23:47,Long Island Tea,8
337,31-12-2020 04:29,Imperial Cocktail,4.99
338,29-12-2020 20:08,Horse's Neck,7.5
339,28-12-2020 21:18,Bijou,4
340,26-12-2020 23:51,Coffee Liqueur,5.5
341,29-12-2020 05:07,Horse's Neck,7.5
342,27-12-2020 14:45,Hawaiian Cocktail,6.5
343,27-12-2020 22:38,Long Island Tea,8
344,27-12-2020 23:05,Hawaiian Cocktail,6.5
345,26-12-2020 01:37,French 75,6.5
346,25-12-2020 22:14,Veteran,8
347,26-12-2020 17:26,Russian Spring Punch,7.5
348,30-12-2020 10:52,Limona Corona,4.2
349,29-12-2020 13:50,Jackhammer,3.5
350,30-12-2020 07:41,Kurant Tea,3
351,25-12-2020 20:36,Orange Crush,5.5
352,26-12-2020 11:58,Kurant Tea,3
353,26-12-2020 07:11,Pysch Vitamin Light,6.5
354,27-12-2020 03:19,After sex,7.5
355,31-12-2020 02:32,Manhattan,4.2
356,29-12-2020 02:40,Margarita,7.5
357,28-12-2020 21:36,Cuba Libre,4.2
358,30-12-2020 13:53,Sweet Tooth,2.99
359,27-12-2020 23:56,Munich Mule,12
360,28-12-2020 09:58,Mother's Milk,5
361,30-12-2020 22:56,Pysch Vitamin Light,6.5
362,25-12-2020 22:15,Long Island Tea,8
363,26-12-2020 03:17,Imperial Cocktail,4.99
364,26-12-2020 08:47,Jelly Bean,3
365,26-12-2020 10:52,Iced Coffee Fillip,5
366,30-12-2020 01:25,Iced Coffee Fillip,5
367,26-12-2020 23:59,Zimadori Zinger,12
368,29-12-2020 13:07,Clover Club,4.99
369,26-12-2020 23:55,Bramble,4.2
370,29-12-2020 03:43,Irish Coffee,7.5
371,29-12-2020 17:08,Broadside,5.5
372,31-12-2020 10:42,Sweet Tooth,2.99
373,31-12-2020 08:50,Hawaiian Cocktail,6.5
374,30-12-2020 10:23,Jelly Bean,3
375,31-12-2020 04:32,Lassi - Sweet,8
376,26-12-2020 03:37,Hawaiian Cocktail,6.5
377,31-12-2020 18:36,Grizzly Bear,12
378,26-12-2020 19:59,Affinity,2.99
379,28-12-2020 02:20,Lassi - Sweet,8
380,31-12-2020 11:06,Dry Rob Roy,5.5
381,28-12-2020 06:57,Sea breeze,8
382,25-12-2020 18:27,Winter Paloma,8
383,31-12-2020 03:23,Grizzly Bear,12
384,26-12-2020 08:54,Manhattan,4.2
385,28-12-2020 13:29,Mint Julep,8
386,30-12-2020 08:15,Greyhound,4.99
387,27-12-2020 03:40,Affinity,2.99
388,29-12-2020 19:54,Irish Spring,5.15
389,27-12-2020 18:07,Margarita,7.5
390,31-12-2020 15:40,Broadside,5.5
391,31-12-2020 02:39,Tom Collins,5.5
392,29-12-2020 15:10,Margarita,7.5
393,29-12-2020 11:55,Hawaiian Cocktail,6.5
394,30-12-2020 17:20,Grim Reaper,4
395,29-12-2020 21:13,Horse's Neck,7.5
396,26-12-2020 04:48,Chocolate Drink,12
397,29-12-2020 11:17,Hawaiian Cocktail,6.5
398,30-12-2020 20:43,Jack's Vanilla Coke,6.5
399,29-12-2020 01:33,Hawaiian Cocktail,6.5
400,30-12-2020 19:00,Dark Caipirinha,2.99
401,31-12-2020 20:34,Gin Daisy,4.99
402,30-12-2020 23:17,Whitecap Margarita,4.99
403,27-12-2020 23:52,French 75,6.5
404,28-12-2020 20:32,Royal Gin Fizz,7.5
405,30-12-2020 00:23,Victor,4.2
406,30-12-2020 04:27,Long Island Iced Tea,3
407,30-12-2020 15:09,Imperial Cocktail,4.99
408,31-12-2020 19:23,Bloody Mary,5.5
409,27-12-2020 12:07,Jackhammer,3.5
410,28-12-2020 16:57,Manhattan,4.2
411,28-12-2020 01:05,Alexander,5
412,27-12-2020 01:09,Rum Punch,3.5
413,26-12-2020 15:18,Affair,8
414,31-12-2020 16:25,Chocolate Milk,5.15
415,25-12-2020 20:26,Zimadori Zinger,12
416,31-12-2020 11:38,Sea breeze,8
417,25-12-2020 18:01,Limona Corona,4.2
418,28-12-2020 20:33,Grasshopper,4.99
419,26-12-2020 11:07,Rum Sour,5.5
420,26-12-2020 19:14,Apello,3.5
421,28-12-2020 14:43,Long Island Tea,8
422,27-12-2020 18:44,Kurant Tea,3
423,31-12-2020 22:44,New York Lemonade,5.15
424,27-12-2020 07:00,Margarita,7.5
425,31-12-2020 13:38,Caipirinha,3.5
426,31-12-2020 10:31,Scooter,12
427,26-12-2020 05:45,Tequila Sour,5.15
428,25-12-2020 18:36,Dry Martini,8
429,31-12-2020 09:21,Manhattan,4.2
430,27-12-2020 13:11,Margarita,7.5
431,28-12-2020 12:18,Oatmeal Cookie,4.99
432,29-12-2020 11:16,Casino Royale,11
433,26-12-2020 14:58,Victor,4.2
434,27-12-2020 03:49,Clover Club,4.99
435,29-12-2020 02:21,Ipamena,2.99
436,30-12-2020 12:09,Jack's Vanilla Coke,6.5
437,30-12-2020 08:51,Cream Soda,5.15
438,29-12-2020 00:38,Clover Club,4.99
439,31-12-2020 05:52,Long Island Tea,8
440,29-12-2020 02:05,Grass Skirt,2.99
441,29-12-2020 10:09,Imperial Cocktail,4.99
442,31-12-2020 01:24,Planter's Punch,5
443,27-12-2020 17:44,Russian Spring Punch,7.5
444,27-12-2020 03:10,Shot-gun,7.5
445,31-12-2020 10:24,Bramble,4.2
446,30-12-2020 06:59,Mojito,5.5
447,30-12-2020 22:43,Big Red,8
448,30-12-2020 18:13,Whitecap Margarita,4.99
449,28-12-2020 02:09,Sol Y Sombra,5.15
450,25-12-2020 20:32,Imperial Cocktail,4.99
451,30-12-2020 02:16,Vodka And Tonic,11
452,27-12-2020 13:59,Margarita,7.5
453,30-12-2020 11:22,Hawaiian Cocktail,6.5
454,29-12-2020 01:41,Munich Mule,12
455,30-12-2020 04:02,Grim Reaper,4
456,31-12-2020 15:18,Bellini,2.99
457,25-12-2020 21:06,Rum Cooler,4.99
458,30-12-2020 01:15,Vampiro,11
459,31-12-2020 23:29,Campari Beer,7.5
460,27-12-2020 21:02,Pysch Vitamin Light,6.5
461,31-12-2020 18:27,Lone Tree Cooler,5.5
462,28-12-2020 12:30,Espresso Martini,11
463,29-12-2020 18:46,Fruit Shake,5.5
464,31-12-2020 08:21,Hawaiian Cocktail,6.5
465,30-12-2020 23:10,Yoghurt Cooler,3.5
466,31-12-2020 03:27,Kiwi Papaya Smoothie,5.15
467,28-12-2020 00:27,Sangria,3.5
468,31-12-2020 12:01,Caipirinha,3.5
469,26-12-2020 03:31,Kiwi Papaya Smoothie,5.15
470,27-12-2020 03:33,Lone Tree Cooler,5.5
471,27-12-2020 23:14,Manhattan,4.2
472,30-12-2020 10:01,Valencia Cocktail,5.5
473,30-12-2020 11:50,Monkey Gland,11
474,30-12-2020 17:44,Clover Club,4.99
475,31-12-2020 13:10,Dry Martini,8
476,26-12-2020 19:10,Margarita,7.5
477,29-12-2020 23:25,Bora Bora,2.99
478,31-12-2020 05:48,Imperial Cocktail,4.99
479,28-12-2020 23:16,Old Fashioned,5.5
480,30-12-2020 03:04,Ipamena,2.99
481,30-12-2020 17:49,Imperial Cocktail,4.99
482,28-12-2020 05:59,Queen Charlotte,8
483,30-12-2020 10:24,Iced Coffee Fillip,5
484,28-12-2020 10:19,Mulled Wine,11
485,26-12-2020 11:17,Sea breeze,8
486,29-12-2020 08:22,Ace,12
487,27-12-2020 23:03,H.D.,7.5
488,30-12-2020 01:00,Long Island Tea,8
489,30-12-2020 10:01,Margarita,7.5
490,25-12-2020 23:16,Coffee Liqueur,5.5
491,26-12-2020 14:27,Manhattan,4.2
492,29-12-2020 19:48,Sea breeze,8
493,29-12-2020 04:41,A. J.,11
494,30-12-2020 15:05,Gin Rickey,4
495,26-12-2020 05:35,Grasshopper,4.99
496,31-12-2020 18:53,Gimlet,4.2
497,28-12-2020 20:06,Gimlet,4.2
498,30-12-2020 15:53,Tom Collins,5.5
499,31-12-2020 14:12,Yellow Bird,8
500,29-12-2020 20:31,Lemouroudji,5.15
501,29-12-2020 19:37,H.D.,7.5
502,25-12-2020 20:59,Gin Rickey,4
503,27-12-2020 14:40,Monkey Gland,11
504,26-12-2020 02:14,Irish Coffee,7.5
505,29-12-2020 23:27,Grim Reaper,4
506,30-12-2020 09:47,Hawaiian Cocktail,6.5
507,28-12-2020 11:17,Jitterbug,4
508,30-12-2020 03:13,Orgasm,5.15
509,27-12-2020 12:55,Imperial Cocktail,4.99
510,26-12-2020 10:00,Bijou,4
511,28-12-2020 10:06,Hawaiian Cocktail,6.5
512,26-12-2020 19:39,Homemade Kahlua,6.5
513,27-12-2020 01:28,Shot-gun,7.5
514,29-12-2020 03:18,Victory Collins,7.5
515,27-12-2020 14:00,Grasshopper,4.99
516,29-12-2020 20:31,Margarita,7.5
517,31-12-2020 13:10,Midnight Mint,7.5
518,27-12-2020 13:26,Lassi Raita,6.5
519,28-12-2020 21:49,Old Fashioned,5.5
520,30-12-2020 04:20,Sangria,3.5
521,28-12-2020 20:23,Afternoon,3
522,25-12-2020 20:56,Quick-sand,4
523,25-12-2020 19:50,Casa Blanca,5.15
524,28-12-2020 02:53,Long Island Iced Tea,3
525,28-12-2020 17:25,Vampiro,11
526,30-12-2020 11:49,Irish Curdling Cow,2.99
527,29-12-2020 22:40,Van Vleet,4.2
528,26-12-2020 11:01,Whitecap Margarita,4.99
529,30-12-2020 05:50,Planter’s Punch,8
530,31-12-2020 02:46,Lone Tree Cooler,5.5
531,30-12-2020 17:35,Imperial Cocktail,4.99
532,27-12-2020 01:35,Victory Collins,7.5
533,29-12-2020 22:35,Queen Charlotte,8
534,28-12-2020 22:47,Imperial Cocktail,4.99
535,28-12-2020 15:41,New York Lemonade,5.15
536,29-12-2020 19:06,Bloody Mary,5.5
537,28-12-2020 21:36,Margarita,7.5
538,26-12-2020 06:47,Grim Reaper,4
539,29-12-2020 21:44,Orange Crush,5.5
540,28-12-2020 12:58,Frisco Sour,4
541,31-12-2020 11:27,Afternoon,3
542,30-12-2020 11:09,Gin Fizz,2.99
543,27-12-2020 12:22,Grass Skirt,2.99
544,30-12-2020 12:19,Margarita,7.5
545,31-12-2020 09:27,Fahrenheit 5000,2.99
546,26-12-2020 11:49,Clover Club,4.99
547,30-12-2020 06:10,Tequila Sour,5.15
548,31-12-2020 21:18,Greyhound,4.99
549,27-12-2020 23:18,Egg Nog - Healthy,11
550,31-12-2020 16:32,Valencia Cocktail,5.5
551,28-12-2020 17:23,After sex,7.5
552,27-12-2020 00:56,Zoksel,6.5
553,27-12-2020 09:49,Margarita,7.5
554,31-12-2020 07:22,Gin Fizz,2.99
555,25-12-2020 19:09,Mango Mojito,7.5
556,29-12-2020 08:50,Imperial Cocktail,4.99
557,26-12-2020 20:52,Mai Tai,11
558,27-12-2020 17:21,Irish Curdling Cow,2.99
559,31-12-2020 14:36,Gimlet,4.2
560,27-12-2020 05:18,Irish Coffee,7.5
561,30-12-2020 14:01,Gin Fizz,2.99
562,29-12-2020 20:48,Dry Martini,8
563,27-12-2020 11:57,Rum Cooler,4.99
564,30-12-2020 19:27,Kiwi Papaya Smoothie,5.15
565,28-12-2020 16:36,Barracuda,4.2
566,31-12-2020 14:59,Hawaiian Cocktail,6.5
567,28-12-2020 09:56,Shark Attack,6.5
568,27-12-2020 05:52,Hawaiian Cocktail,6.5
569,26-12-2020 14:56,Vampiro,11
570,26-12-2020 22:07,Cosmopolitan,2.99
571,30-12-2020 01:16,Cream Soda,5.15
572,28-12-2020 22:39,Yoghurt Cooler,3.5
573,27-12-2020 02:16,Mother's Milk,5
